Username,User ID,Goals,Assists,Clean Sheets,Team Emoji
luck312,1250509526059192334,2,0,0,":albania:"
jameswonson2121,422564714783047691,2,1,0,":albania:"
pavlo916masqked,930678940593422356,1,1,0,":albania:"
flair07652,1375176044423807056,1,1,0,":albania"
id1bu,598114218092396574,1,0,0,":netherlands:"
itsjustme4ever,718816426735042661,1,0,0,":netherlands:"
"rayanito.",765141611058298892,1,0,0,":netherlands:"
bratibrati4701,,2,0,0,":netherlands:"
28ot,1096803545623298178,1,0,0,":flag_fr:"
vnirato,1217823554175897702,3,2,0,":flag_fr:"
jx_diamond852,1113102134662152213,1,0,0,":flag_fr:"
creed_alpee,1221862603127656468,1,0,0,":flag_fr:"
subtletrolling,1289649823632461925,0,1,0,":flag_fr:"
subzero_shin,1251698828634099762,1,0,0,":serbia:"
the2ndbestpub,1114960942149685328,1,0,0,":serbia:"
emir_752,1263625250843660321,0,3,0,":serbia:"
hoelesmf_15455,1232758128643145843,1,0,0,":serbia:"
dreds,,1,0,0,":serbia:"
whitepantherak,707473151604293672,4,0,0,":serbia:"
9lxcko,1141506551081865307,1,1,0,":serbia:"
dox4921,500537634561589248,1,0,0,":serbia:"
islayer61,1302753769410396201,1,0,0,":serbia:"
roosvanfleur,1322630813774381107,1,0,0,":serbia:"
heroisbanned2,723883997951688754,1,0,0,":serbia:"
xonicy,1154835092116623410,2,0,0,":hungary:"
idkalexs,877163034735435797,1,0,0,":hungary:"
olive99099,1245141689799016522,1,0,0,":hungary:"
zoara_ishim,,2,0,0,":hungary:"
oliv99099friend,,1,0,0,":hungary:"
ibbyjasbuiscryptic,,0,3,0,":hungary:"
mzupkaa,1294684328080441427,3,0,0,":austria:"
egzequtorr,736521046748037180,2,1,0,":austria:"
xvmichelvx_04382,1195393327147790511,1,1,0,":austria:"
zetqa_1kk,1310149032089489432,0,2,0,":austria:"
megissss12,1237637586718294040,1,0,0,":austria:"
"concerned.is.bad.lol",,0,2,0,":austria:"
mugiwaraarsenal,1176721959992692738,1,0,0,":germany:"
icewallowcome6015,506215968008044545,1,1,0,":germany:"
nahbro011111,1350562848107003926,5,0,0,":germany:"
rmnhu,1079846545777770666,1,1,0,":germany:"
olythra,,1,2,0,":germany:"
rel0038,949055270837944350,0,3,0,":germany:"
djaski12,1065315201349599303,0,1,0,":germany:"
janasto0717,1298244552192299054,2,0,0,":germany:"
reszut,697133275084357702,1,1,0,":germany:"
algerianfrezzer,1370180770886582292,1,1,0,":germany:"
sigma_me69,924381117900005377,0,3,0,":germany:"
egotisticaldhp,561558913011679242,1,1,0,":scotland:"
ghostzismagik,1063192777585872937,1,0,0,":scotland:"
flashdesigma,882592246531235840,1,0,0,":scotland:"
nemist0,993790400533897278,1,1,0,":scotland:"
dingboisvro,1387735950565834825,1,1,0,":scotland:"
krinkon,1018183351657570414,1,0,0,":scotland:"
bolachadelorenzo,769386871876616193,7,2,0,":slovakia:"
crfl4meng0,1286815157040971818,3,6,0,":slovakia:"
lox060606,1171185968460615742,1,0,0,":slovakia:"
whech545,800370895675719710,2,2,0,":slovakia:"
oslovn,1093102896977031230,1,1,0,":georgia:"
zazuthetopg_04531,1264257660442640506,1,0,0,":georgia:"
nika59676,1300935739663712308,2,0,0,":georgia:"
fehtkxz,842426564637753394,2,2,0,":georgia:"
".lkai.",674428720005775373,1,0,0,":georgia:"
"kll.l20",,0,1,0,":georgia:"
xdarkjuanx,950161451090341928,1,1,0,":georgia:"
cabiidee,809476337827577906,0,0,1,":georgia:"
9zennnn,1169683614284386436,2,0,0,":czechrepublic:"
"raavenn1.",1312481497965531230,0,1,0,":czechrepublic:"
"vladimir123.123",729051874535407736,0,1,0,":czechrepublic:"
retroknight0_c,,1,1,0,":czechrepublic:"
enterurusername333,960148469530656819,4,0,0,":england:"
kyli48n,1255151433951613010,4,1,0,":england:"
mikeyogballer_30481,1262691193356288023,1,0,0,":england:"
"spainbreakinq.",1331363040595148916,3,4,0,":england:"
spanishbreakinq,,1,0,0,":england:"
def_ence,,1,2,0,":england:"
"gnzs.1",838234427246903326,1,2,0,":poland:"
"hazard.10.c",931626528364711997,1,1,0,":poland:"
".justasans.",983942948729278544,1,0,0,":poland:"
Ved7683,,1,0,0,":poland:"
xeomisgoat,717798591565135962,0,1,0,":poland:"
raiderzz,899381495452545084,2,0,0,":poland:"
mannyzinho0,1234923711220682854,2,0,0,":poland:"
ariaataveraa33,1354898991661453484,1,0,0,":portugal:"
szyneke,1322182105454874696,0,1,0,":portugal:"
desmondbenjamin0644_75520,,1,0,0,":portugal:"
yam4813,1126105936990306364,0,1,0,":portugal:"
verta,,1,0,0,":slovenia:"
1d1d1,1025464572552941580,1,0,0,":slovenia:"
"riosnhfk.",,0,1,0,":slovenia:"
benali,,1,0,0,":denmark:"
nicolasjr0097,1388781535208931390,3,0,0,":denmark:"
lars_2502,1254133996745527458,2,1,0,":switzerland:"
bram2502,1169685878868815892,2,1,0,":switzerland:"
malfini665,1385636778127392950,4,0,0,":turkey~1:"
notneal,939685243571568651,3,0,0,":turkey~1:"
axnoxd,839162967408246815,1,0,0,":turkey~1:"
bomboclauut76,842089970319753267,2,0,0,":ukraine:"
wlirt,1324676180204585051,1,0,0,":ukraine:"